vasp_name,address,chain,address_type,source_name,source_url,source_type,source_reference,verification_status,confidence,confidence_score,first_verified_at,last_verified_at,notes
Binance,0x28c6c06298d514db089934071355e5743bf21d60,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 14 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 14 Hot Wallet
Binance,0x21a31ee1afc51d94c2efccaa2092ad1028285549,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 15 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 15 Hot Wallet
Binance,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 16 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 16 Hot Wallet
Binance,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 7 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 7 Hot Wallet
Binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 8 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 8 Hot Wallet
Binance,0xd551234ae421e3bcba99a0da6d7360740323992b,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 9 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 9 Hot Wallet
Binance,0x564286362092d8e7936f0549571a803b203aaced,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 10 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 10 Hot Wallet
Binance,0x0681d8db095565fe8a346fa0277bffd2f9723cf1,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 11 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 11 Hot Wallet
Binance,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 12 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 12 Hot Wallet
Binance,0xf977814e90da44bfa03b6295a0616a897441acec,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 13 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 13 Hot Wallet
Binance,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,ethereum,cold_storage,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Cold Storage 1,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Cold Storage 1
Binance,0x5a52e96bacdabb82fd05763e25335261b270efcb,ethereum,cold_storage,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Cold Storage 3,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Cold Storage 3
Binance,0x6f6c07d80d0d433ca3f71304fb5b08709a3c9e53,ethereum,treasury,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance SAFU Fund,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance SAFU Fund
Binance,0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,ethereum,cold_storage,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Proof of Reserves 1,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Proof of Reserves 1
Binance,0xdcc703c0e500b653ca82273b7bfad8045d85a470,ethereum,cold_storage,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Proof of Reserves 2,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Proof of Reserves 2
Binance,0x764be76aab41e0280d41fff4ce072049c6f53d68,ethereum,cold_storage,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Proof of Reserves 3,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Proof of Reserves 3
Binance,0xe78388b4ce79068e89bf8aa7f2182e8242042865,ethereum,deposit,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Deposit Collector 1,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Deposit Collector 1
Binance,0x9696e59e4d72e237be84ffd429dc6986970376e4,ethereum,deposit,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Deposit Collector 2,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Deposit Collector 2
Binance,0xa45b530c33d06287900b8be90382894101a1db91,ethereum,deposit,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Deposit Collector 3,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Deposit Collector 3
Binance,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 17 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 17 Hot Wallet
Binance,0x1037500b7d146a29c5b239ff84f17c80521d0192,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 18 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 18 Hot Wallet
Binance,0x267be1c1d684f7804e61433a41627414446c9340,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 19 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 19 Hot Wallet
Binance,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,ethereum,hot_wallet,DefiLlama & Binance PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance 20 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance 20 Hot Wallet
Binance,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,tron,hot_wallet,Binance Official PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Tron Hot Wallet 7 (TRC-20 USDT Hub),verified,HIGH,96.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Tron Hot Wallet 7 (TRC-20 USDT Hub)
Binance,TAUN6FwrnwwmaEqYcckffC7wYmbaS6cBiX,tron,hot_wallet,Binance Official PoR,https://defillama.com/cex/binance,VASP official source,Entity Tag: Binance Tron Hot Wallet 1,verified,HIGH,96.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Binance Tron Hot Wallet 1
Coinbase,0xa090e606e30bd747d4e6245a1517ebe430f0057e,ethereum,hot_wallet,Coinbase Disclosures & Etherscan,https://etherscan.io/accounts/label/coinbase,blockchain explorer public label,Entity Tag: Coinbase 1 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Coinbase 1 Hot Wallet
Coinbase,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,ethereum,hot_wallet,Coinbase Disclosures & Etherscan,https://etherscan.io/accounts/label/coinbase,blockchain explorer public label,Entity Tag: Coinbase 2 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Coinbase 2 Hot Wallet
Coinbase,0x503828976d22510aad0201ac7ec88293211d23da,ethereum,cold_storage,Coinbase Disclosures & Etherscan,https://etherscan.io/accounts/label/coinbase,blockchain explorer public label,Entity Tag: Coinbase Custody 1,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Coinbase Custody 1
Coinbase,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,ethereum,hot_wallet,Coinbase Disclosures & Etherscan,https://etherscan.io/accounts/label/coinbase,blockchain explorer public label,Entity Tag: Coinbase 3 Hot Wallet,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Coinbase 3 Hot Wallet
Coinbase,0x3c04227186413e6015b63d78bdf1b2dd81260f0c,ethereum,cold_storage,Coinbase Disclosures & Etherscan,https://etherscan.io/accounts/label/coinbase,blockchain explorer public label,Entity Tag: Coinbase Prime Custody 1,verified,HIGH,98.0,2024-01-15 00:00:00,2026-08-25 00:00:00,Coinbase Prime Custody 1
